pid,minorType_id,standardSegment_id
1,T4-1,T4-UF.ab
2,T4-1,T4-KA.abc
3,T4-1,T4-KI.0a
4,T4-10,T4-UF.ef
5,T4-10,T4-KA.de
6,T4-10,T4-KI.0a
7,T4-11,T4-UF.ef
8,T4-11,T4-KA.fg
9,T4-11,T4-KI.0a
10,T4-12,T4-UF.ef
11,T4-12,T4-KA.hi
12,T4-12,T4-KI.0a
13,T4-13,T4-UF.gh
14,T4-13,T4-KA.abc
15,T4-13,T4-KI.0a
16,T4-14,T4-UF.gh
17,T4-14,T4-KA.de
18,T4-14,T4-KI.0a
19,T4-15,T4-UF.gh
20,T4-15,T4-KA.fg
21,T4-15,T4-KI.0a
22,T4-16,T4-UF.gh
23,T4-16,T4-KA.hi
24,T4-16,T4-KI.0a
25,T4-17,T4-UF.ab
26,T4-17,T4-KA.de
27,T4-17,T4-KI.bc
28,T4-18,T4-UF.ab
29,T4-18,T4-KA.fg
30,T4-18,T4-KA.hi
31,T4-18,T4-KI.bc
32,T4-19,T4-UF.cd
33,T4-19,T4-KA.fg
34,T4-19,T4-KA.hi
35,T4-19,T4-KI.bc
36,T4-2,T4-UF.ab
37,T4-2,T4-KA.de
38,T4-2,T4-KI.0a
39,T4-20,T4-UF.ef
40,T4-20,T4-KA.fg
41,T4-20,T4-KA.hi
42,T4-20,T4-KI.bc
43,T4-3,T4-UF.ab
44,T4-3,T4-KA.fg
45,T4-3,T4-KI.0a
46,T4-4,T4-UF.ab
47,T4-4,T4-KA.hi
48,T4-4,T4-KI.0a
49,T4-5,T4-UF.cd
50,T4-5,T4-KA.abc
51,T4-5,T4-KI.0a
52,T4-6,T4-UF.cd
53,T4-6,T4-KA.de
54,T4-6,T4-KI.0a
55,T4-7,T4-UF.cd
56,T4-7,T4-KA.fg
57,T4-7,T4-KI.0a
58,T4-8,T4-UF.cd
59,T4-8,T4-KA.hi
60,T4-8,T4-KI.0a
61,T4-9,T4-UF.ef
62,T4-9,T4-KA.abc
63,T4-9,T4-KI.0a
64,M1-1,M1-SA.def
65,M1-1,M1-HF.0ab
66,M1-1,M1-VF.0ab
67,M1-1,M1-DL.a
68,M1-1,M1-DL.bc
69,M1-2,M1-SA.def
70,M1-2,M1-HF.0ab
71,M1-2,M1-VF.cd
72,M1-2,M1-VF.ef
73,M1-2,M1-DL.a
74,M1-3,M1-SA.def
75,M1-3,M1-HF.0ab
76,M1-3,M1-VF.cd
77,M1-3,M1-DL.bc
78,M1-4,M1-SA.def
79,M1-4,M1-HF.0ab
80,M1-4,M1-VF.cd
81,M1-4,M1-DL.d
82,M1-5,M1-SA.def
83,M1-5,M1-HF.0ab
84,M1-5,M1-VF.ef
85,M1-5,M1-DL.bc
86,M1-6,M1-SA.def
87,M1-6,M1-HF.0ab
88,M1-6,M1-VF.ef
89,M1-6,M1-DL.d
90,M1-7,M1-SA.def
91,M1-7,M1-HF.0ab
92,M1-7,M1-VF.gh
93,M1-7,M1-DL.a
94,M1-7,M1-DL.bc
95,M1-7,M1-DL.d
96,M1-8,M1-SA.bc
97,M1-8,M1-HF.0ab
98,M1-8,M1-VF.0ab
99,M1-8,M1-DL.bc
100,M1-8,M1-DL.d
101,M1-9,M1-SA.bc
102,M1-9,M1-HF.0ab
103,M1-9,M1-VF.cd
104,M1-9,M1-VF.ef
105,M1-9,M1-DL.a
106,M1-10,M1-SA.bc
107,M1-10,M1-HF.0ab
108,M1-10,M1-VF.cd
109,M1-10,M1-DL.bc
110,M1-11,M1-SA.bc
111,M1-11,M1-HF.0ab
112,M1-11,M1-VF.cd
113,M1-11,M1-DL.d
114,M1-12,M1-SA.bc
115,M1-12,M1-HF.0ab
116,M1-12,M1-VF.ef
117,M1-12,M1-DL.bc
118,M1-13,M1-SA.bc
119,M1-13,M1-HF.0ab
120,M1-13,M1-VF.ef
121,M1-13,M1-DL.d
122,M1-14,M1-SA.a
123,M1-14,M1-HF.0ab
124,M1-14,M1-VF.0ab
125,M1-14,M1-DL.bc
126,M1-14,M1-DL.d
127,M1-15,M1-SA.a
128,M1-15,M1-HF.0ab
129,M1-15,M1-VF.cd
130,M1-15,M1-VF.ef
131,M1-15,M1-DL.bc
132,M1-15,M1-DL.d
133,M1-16,M1-SA.def
134,M1-16,M1-HF.+
135,M1-16,M1-VF.0ab
136,M1-16,M1-DL.bc
137,M1-16,M1-DL.d
138,M1-17,M1-SA.def
139,M1-17,M1-HF.+
140,M1-17,M1-VF.cd
141,M1-17,M1-VF.ef
142,M1-17,M1-DL.a
143,M1-18,M1-SA.def
144,M1-18,M1-HF.+
145,M1-18,M1-VF.cd
146,M1-18,M1-VF.ef
147,M1-18,M1-DL.bc
148,M1-18,M1-DL.d
149,M1-19,M1-SA.def
150,M1-19,M1-HF.+
151,M1-19,M1-VF.gh
152,M1-19,M1-DL.a
153,M1-19,M1-DL.bc
154,M1-20,M1-SA.bc
155,M1-20,M1-HF.+
156,M1-20,M1-VF.0ab
157,M1-20,M1-DL.bc
158,M1-20,M1-DL.d
159,M1-21,M1-SA.bc
160,M1-21,M1-HF.+
161,M1-21,M1-VF.cd
162,M1-21,M1-VF.ef
163,M1-21,M1-DL.a
164,M1-22,M1-SA.bc
165,M1-22,M1-HF.+
166,M1-22,M1-VF.cd
167,M1-22,M1-VF.ef
168,M1-22,M1-DL.bc
169,M1-22,M1-DL.d
170,M1-23,M1-SA.a
171,M1-23,M1-HF.+
172,M1-23,M1-VF.0ab
173,M1-23,M1-VF.cd
174,M1-23,M1-DL.bc
175,M1-23,M1-DL.d
176,M1-24,M1-S1.b
177,M1-24,M1-SA.def
178,M1-24,M1-HF.+
179,M1-24,M1-VF.0ab
180,M1-24,M1-DL.bc
181,M1-24,M1-DL.d
182,M1-25,M1-S1.b
183,M1-25,M1-SA.def
184,M1-25,M1-HF.+
185,M1-25,M1-VF.cd
186,M1-25,M1-VF.ef
187,M1-25,M1-DL.a
188,M1-26,M1-S1.b
189,M1-26,M1-SA.def
190,M1-26,M1-HF.+
191,M1-26,M1-VF.cd
192,M1-26,M1-VF.ef
193,M1-26,M1-DL.bc
194,M1-26,M1-DL.d
195,M1-27,M1-S1.b
196,M1-27,M1-SA.def
197,M1-27,M1-HF.+
198,M1-27,M1-VF.gh
199,M1-27,M1-DL.a
200,M1-27,M1-DL.bc
201,M1-28,M1-S1.b
202,M1-28,M1-SA.bc
203,M1-28,M1-HF.+
204,M1-28,M1-VF.cd
205,M1-28,M1-VF.ef
206,M1-28,M1-DL.a
207,M1-29,M1-IF.¤
208,M1-29,M1-VF.0ab
209,M1-29,M1-VF.cd
210,M1-29,M1-VF.ef
211,M1-29,M1-DL.a
212,M1-29,M1-DL.bc
213,M2-1,M2-HF.0ab
214,M2-1,M2-DM.0
215,M2-1,M2-VF.a
216,M2-2,M2-HF.0ab
217,M2-2,M2-DM.a
218,M2-2,M2-VF.a
219,M2-3,M2-HF.0ab
220,M2-3,M2-DM.b
221,M2-3,M2-VF.a
222,M2-4,M2-HF.0ab
223,M2-4,M2-DM.cd
224,M2-4,M2-VF.a
225,M2-5,M2-HF.0ab
226,M2-5,M2-DM.ef
227,M2-5,M2-VF.a
228,M2-6,M2-HF.0ab
229,M2-6,M2-DM.0
230,M2-6,M2-VF.bc
231,M2-7,M2-HF.0ab
232,M2-7,M2-DM.a
233,M2-7,M2-VF.bc
234,M2-8,M2-HF.0ab
235,M2-8,M2-DM.b
236,M2-8,M2-VF.bc
237,M2-9,M2-HF.0ab
238,M2-9,M2-DM.cd
239,M2-9,M2-VF.bc
240,M2-10,M2-HF.0ab
241,M2-10,M2-DM.ef
242,M2-10,M2-VF.bc
243,M2-11,M2-HF.0ab
244,M2-11,M2-DM.a
245,M2-11,M2-VF.bc
246,M2-11,M2-BK.a
247,M2-12,M2-HF.0ab
248,M2-12,M2-DM.ef
249,M2-12,M2-VF.bc
250,M2-12,M2-BK.a
251,M2-13,M2-HF.+
252,M2-13,M2-DM.0
253,M2-13,M2-VF.a
254,M2-14,M2-HF.+
255,M2-14,M2-DM.0
256,M2-14,M2-VF.bc
257,M2-15,M2-HF.+
258,M2-15,M2-DM.a
259,M2-15,M2-VF.a
260,M2-16,M2-HF.+
261,M2-16,M2-DM.a
262,M2-16,M2-VF.bc
263,M2-17,M2-HF.+
264,M2-17,M2-DM.b
265,M2-17,M2-VF.a
266,M2-18,M2-HF.+
267,M2-18,M2-DM.b
268,M2-18,M2-VF.bc
269,M2-19,M2-HF.+
270,M2-19,M2-DM.cd
271,M2-19,M2-VF.a
272,M2-19,M2-VF.bc
273,M2-20,M2-HF.+
274,M2-20,M2-DM.ef
275,M2-20,M2-VF.a
276,M2-20,M2-VF.bc
277,M3-1,M3-HF.0ab
278,M3-1,M3-SA.def
279,M3-1,M3-VF.0ab
280,M3-1,M3-TV.ab
281,M3-2,M3-HF.0ab
282,M3-2,M3-SA.def
283,M3-2,M3-VF.0ab
284,M3-2,M3-TV.cde
285,M3-3,M3-HF.0ab
286,M3-3,M3-SA.def
287,M3-3,M3-VF.0ab
288,M3-3,M3-TV.fgh
289,M3-4,M3-HF.0ab
290,M3-4,M3-SA.def
291,M3-4,M3-VF.cd
292,M3-4,M3-TV.ab
293,M3-5,M3-HF.0ab
294,M3-5,M3-SA.def
295,M3-5,M3-VF.cd
296,M3-5,M3-TV.cde
297,M3-6,M3-HF.0ab
298,M3-6,M3-SA.def
299,M3-6,M3-VF.cd
300,M3-6,M3-TV.fgh
301,M3-7,M3-HF.0ab
302,M3-7,M3-SA.def
303,M3-7,M3-VF.efg
304,M3-7,M3-TV.ab
305,M3-8,M3-HF.0ab
306,M3-8,M3-SA.def
307,M3-8,M3-VF.efg
308,M3-8,M3-TV.cde
309,M3-9,M3-HF.0ab
310,M3-9,M3-SA.def
311,M3-9,M3-VF.efg
312,M3-9,M3-TV.fgh
313,M3-10,M3-HF.0ab
314,M3-10,M3-SA.def
315,M3-10,M3-VF.h
316,M3-10,M3-TV.ab
317,M3-10,M3-TV.cde
318,M3-11,M3-HF.0ab
319,M3-11,M3-SA.bc
320,M3-11,M3-VF.0ab
321,M3-11,M3-VF.cd
322,M3-11,M3-TV.ab
323,M3-12,M3-HF.0ab
324,M3-12,M3-SA.bc
325,M3-12,M3-VF.0ab
326,M3-12,M3-VF.cd
327,M3-12,M3-TV.cde
328,M3-12,M3-TV.fgh
329,M3-13,M3-HF.0ab
330,M3-13,M3-SA.a
331,M3-13,M3-VF.0ab
332,M3-13,M3-VF.cd
333,M3-13,M3-TV.ab
334,M3-13,M3-TV.cde
335,M3-13,M3-TV.fgh
336,M3-14,M3-HF.+
337,M3-14,M3-SA.def
338,M3-14,M3-VF.0ab
339,M3-14,M3-TV.ab
340,M3-15,M3-HF.+
341,M3-15,M3-SA.def
342,M3-15,M3-VF.0ab
343,M3-15,M3-TV.fgh
344,M3-15,M3-TV.cde
345,M3-16,M3-HF.+
346,M3-16,M3-SA.def
347,M3-16,M3-VF.cd
348,M3-16,M3-TV.ab
349,M3-16,M3-TV.cde
350,M3-16,M3-TV.fgh
351,M3-17,M3-HF.+
352,M3-17,M3-SA.def
353,M3-17,M3-VF.efg
354,M3-17,M3-VF.h
355,M3-17,M3-TV.ab
356,M3-17,M3-TV.cde
357,M3-17,M3-TV.fgh
358,M3-18,M3-HF.+
359,M3-18,M3-SA.a
360,M3-18,M3-SA.bc
361,M3-18,M3-VF.0ab
362,M3-18,M3-VF.cd
363,M3-18,M3-TV.ab
364,M3-18,M3-TV.cde
365,M3-18,M3-TV.fgh
366,M3-19,M3-VF.0ab
367,M3-19,M3-VF.cd
368,M3-19,M3-VF.efg
369,M3-19,M3-TV.ab
370,M3-19,M3-TV.cde
371,M3-19,M3-TV.fgh
372,M3-19,M3-IF.¤
373,M4-1,M4-DL.abc
374,M4-1,M4-SA.de
375,M4-1,M4-TV.0
376,M4-1,M4-S3E.0a
377,M4-1,M4-S3E.b
378,M4-1,M4-S3F.0a
379,M4-2,M4-DL.abc
380,M4-2,M4-SA.de
381,M4-2,M4-TV.0
382,M4-2,M4-S3E.0a
383,M4-2,M4-S3F.¤
384,M4-3,M4-DL.abc
385,M4-3,M4-SA.de
386,M4-3,M4-TV.0
387,M4-3,M4-S3E.c
388,M4-3,M4-S3F.0a
389,M4-4,M4-DL.abc
390,M4-4,M4-SA.de
391,M4-4,M4-TV.0
392,M4-4,M4-S3E.b
393,M4-4,M4-S3E.c
394,M4-4,M4-S3F.bc
395,M4-5,M4-DL.abc
396,M4-5,M4-SA.de
397,M4-5,M4-TV.0
398,M4-5,M4-S3E.b
399,M4-5,M4-S3E.c
400,M4-5,M4-S3E.d
401,M4-5,M4-S3F.¤
402,M4-6,M4-DL.abc
403,M4-6,M4-SA.de
404,M4-6,M4-TV.0
405,M4-6,M4-S3E.d
406,M4-6,M4-S3E.e
407,M4-6,M4-S3F.0a
408,M4-7,M4-DL.abc
409,M4-7,M4-SA.de
410,M4-7,M4-TV.0
411,M4-7,M4-S3E.d
412,M4-7,M4-S3F.bc
413,M4-8,M4-DL.abc
414,M4-8,M4-SA.de
415,M4-8,M4-TV.0
416,M4-8,M4-S3E.e
417,M4-8,M4-S3F.¤
418,M4-9,M4-DL.abc
419,M4-9,M4-SA.de
420,M4-9,M4-TV.0
421,M4-9,M4-S3E.0a
422,M4-9,M4-S3F.¤
423,M4-9,M4-IO.¤
424,M4-10,M4-DL.abc
